reclat,reclon,
42.96384,-78.82043, 
42.96385,-78.82045, 
42.96386,-78.82047, 
42.96387,-78.82049, 
42.96387,-78.82051, 
42.96386,-78.82052, 
42.96386,-78.82054, 
42.96387,-78.82056, 
42.96386,-78.82057, 
42.96386,-78.8206, 
42.96385,-78.8206, 
42.96385,-78.82061, 
42.96385,-78.82062, 
42.96386,-78.82063, 
42.96386,-78.82064, 
42.96386,-78.82065, 
42.96386,-78.82067, 
42.96385,-78.82069, 
42.96384,-78.8207, 
42.96384,-78.82072, 
42.96384,-78.82075, 
42.96384,-78.82077, 
42.96384,-78.8208, 
42.96384,-78.82082, 
42.96383,-78.82084, 
42.96383,-78.82086, 
42.96383,-78.82087, 
42.96383,-78.82088, 
42.96384,-78.8209, 
42.96384,-78.82091, 
42.96385,-78.82092, 
42.96385,-78.82093, 
42.96386,-78.82094, 
42.96386,-78.82096, 
42.96386,-78.82097, 
42.96387,-78.82102, 
42.96387,-78.82104, 
42.96387,-78.82107, 
42.96386,-78.8211, 
42.96386,-78.82113, 
42.96386,-78.82114, 
42.96336,-78.82202, 
42.96335,-78.82201, 
42.96334,-78.822, 
42.96333,-78.822, 
42.96332,-78.82199, 
42.96331,-78.82198, 
42.9633,-78.82197, 
42.96328,-78.82196, 
42.96327,-78.82196, 
42.96326,-78.82196, 
42.96325,-78.82196, 
42.96323,-78.82197, 
42.96322,-78.82197, 
42.96321,-78.82197, 
42.9632,-78.82197, 
42.96319,-78.82197, 
42.96318,-78.82198, 
42.96317,-78.82198, 
42.96317,-78.82199, 
42.96316,-78.822, 
42.96316,-78.822, 
42.96315,-78.822, 
42.96314,-78.82201, 
42.96313,-78.82202, 
42.96313,-78.82203, 
42.96312,-78.82203, 
42.9631,-78.82203, 
42.96309,-78.82203, 
42.96307,-78.82203, 
42.96306,-78.82202, 
42.96304,-78.82201, 
42.96302,-78.822, 
42.963,-78.822, 
42.96297,-78.822, 
42.96295,-78.82199, 
42.96292,-78.822, 
42.96291,-78.82202, 
42.9629,-78.82202, 
42.96288,-78.82203, 
42.96287,-78.82203, 
42.96285,-78.82203, 
42.96284,-78.82204, 
42.96282,-78.82203, 
42.96281,-78.82203, 
42.96281,-78.82202, 
42.9628,-78.82201, 
42.96279,-78.82201, 
42.96278,-78.82201, 
42.96276,-78.822, 
42.96275,-78.822, 
42.96273,-78.822, 
42.96271,-78.82199, 
42.96269,-78.82198, 
42.96268,-78.82198, 
